osm_id,service_type,name,lat,lon
10238248121,school,Спортно училище Юрий Гагарин,42.513897,27.468489
10238811645,kindergarten,Стойков хан,43.311378,27.980008
10240045943,school,Детски образователен център „SUNNY“,42.522058,27.46287
10246109174,pharmacy,,42.65398,27.696492
10246259707,pharmacy,Subra,42.627651,23.374447
10249380529,pharmacy,Subra,42.660737,23.382153
10249381121,pharmacy,Санита,42.660226,23.383208
10258964637,clinic,"Медицински център""Св. Димитър""",42.646831,23.271114
10258972761,pharmacy,Subra,42.649823,23.260637
10267707121,pharmacy,SOpharmacy,42.682789,23.267507
10270080266,pharmacy,SOpharmacy,41.564465,23.279588
10275490710,clinic,Оксилайф,42.65965,23.28783
10277770579,clinic,д-р Малева,42.42356,25.614588
10291445455,clinic,Д-р Крушарски,42.669157,23.274699
10293063603,pharmacy,Марешки,43.046072,25.890666
10293121186,pharmacy,,42.929784,25.877448
10293134412,pharmacy,Бендида,43.045671,25.891083
10293139092,pharmacy,Марешки,42.929897,25.880361
10293147910,pharmacy,SOpharmacy,42.929416,25.880623
10293149593,pharmacy,Марешки,42.344444,27.181325
10295133391,pharmacy,Гален,41.767882,26.20657
10296568584,pharmacy,Попов,42.662745,23.397464
10297302468,pharmacy,Ремедиум,42.651925,23.345468
10297336103,pharmacy,SOpharmacy,42.663642,23.344524
10298112560,school,33 Езикова гимназия „Света София“,42.711644,23.295728
10298112561,school,45 ОУ „Константин Величков“,42.711349,23.296438
10298175676,kindergarten,,43.137036,24.699045
10300864452,pharmacy,SOpharmacy,42.432943,25.638423
10311308364,pharmacy,Хрисимар,42.61012,25.543045
10311340463,clinic,,42.609833,25.543803
10313290622,clinic,Физиомед,43.416104,24.615014
10314686803,kindergarten,"ДГ ""Кокиче""",42.147172,24.777523
10314705929,clinic,Pro Art,42.146087,24.780454
10316940680,pharmacy,Хеликс,42.500716,27.46151
10556625475,pharmacy,Медея,42.717299,23.278167
10599811951,clinic,д-р Йовко Нанев,42.419385,25.626092
10603016575,pharmacy,,42.339606,24.8116
10605513213,pharmacy,,42.014768,24.884376
10610709364,hospital,,42.240775,27.770532
10651632405,pharmacy,Софарма,43.221172,27.918035
10671874029,pharmacy,Ceiba,42.258803,23.10351
10671878319,pharmacy,Св. Иван Рилски,42.264526,23.116122
10678549896,pharmacy,Витания,42.671481,23.350729
10682700984,pharmacy,,41.842949,26.080876
10683569006,pharmacy,Прайм,43.222828,27.920803
10688294958,pharmacy,FabNetPharmacy,41.720477,23.160685
10688508943,pharmacy,Павлова,42.436175,25.631067
10695196881,kindergarten,ДГ №93 „Чуден свят“ - филиал бл. 195,42.674351,23.28392
10695206444,clinic,Клиника Вистамед,42.672371,23.284926
10696372624,school,Зелена класна стая,42.633763,23.225956
10702023706,clinic,ОЗОК,42.673427,23.358987
10736378005,school,Езиково училище Уилям Шекспир,42.151892,24.749453
10737763031,pharmacy,Запад,42.136445,24.715813
10737763053,pharmacy,SOpharmacy,42.13622,24.718505
10747755730,pharmacy,SOpharmacy,42.173492,24.741336
10748671150,clinic,Bodimed,42.677868,23.360104
10748671788,clinic,Excelsior,42.677861,23.360208
10748727998,hospital,МБАЛ”Д-р Ат.Дафовски”АД,41.64575,25.37533
10750429573,pharmacy,Sigma,41.843756,23.487126
10759745459,pharmacy,,42.260461,23.106404
10761710187,pharmacy,Рони,42.160849,24.755036
10776551688,pharmacy,,42.013655,23.090561
10776551690,pharmacy,,42.013272,23.090685
10788184861,pharmacy,Матрикариа,43.21769,27.924474
10788352322,pharmacy,,41.63855,23.1997
10792470405,pharmacy,Марешки,43.742708,27.415075
10792832483,pharmacy,,41.560486,23.276845
10792903890,pharmacy,,41.562968,23.277006
10792903936,pharmacy,,41.560863,23.277791
10794834327,clinic,Санус 2000,42.684571,23.300565
10798908252,clinic,Клиника по професионални заболявания,42.681442,23.299539
10799998741,kindergarten,,42.830514,23.993607
10806881056,pharmacy,Хелиос-фарм,42.264398,23.118664
10806881057,pharmacy,Хелиос-фарм,42.265526,23.117516
10806881058,pharmacy,Марешки,42.264193,23.117153
10814014461,pharmacy,Кактус,43.220361,27.930418
10814380203,pharmacy,Санте,43.223332,27.9296
10816052748,kindergarten,ДГ Дружба,43.274401,26.951613
10816052827,school,"СУ ""Васил Левски""",43.274061,26.956578
10819563070,pharmacy,,42.032466,23.990279
10824371941,pharmacy,,42.021291,23.090803
10825915704,kindergarten,ЦДГ Веселите делфинчета,43.339814,28.05547
10829948997,pharmacy,,42.68883,23.274859
10839542573,pharmacy,Дина мед,42.659712,23.359295
10842083055,kindergarten,,42.872221,26.803199
10842097319,pharmacy,Марешки,42.886753,26.44968
10842100583,school,Христо Ботев,42.739396,26.631087
10842108589,kindergarten,Сладкопойна чучулига,43.13488,25.902624
10845306973,pharmacy,Д-р Басанович,43.223941,27.925346
10852000156,pharmacy,Имунофарм,42.660671,23.364842
10852743677,pharmacy,Subra,42.640059,23.311451
10892530919,kindergarten,Детска градина,42.709455,27.251699
10893767307,pharmacy,,42.663853,23.300969
10895516483,pharmacy,Витания,41.549966,23.26986
10900655319,pharmacy,,43.608247,26.238238
10904407212,hospital,МЦ Афродита,42.658991,23.315418
10918014537,pharmacy,Subra,42.64118,23.335157
10930813947,pharmacy,Марешки,42.122289,24.737671
10932537015,school,Deutsch korrekt,42.671025,23.289994
10934149155,pharmacy,,42.643975,23.411644
10939395410,pharmacy,Димма,42.625322,23.381146
