osm_id,service_type,amenity_raw,name,lat,lon,district
5025147789,school,school,МяСтоТо,42.666301,23.294814,Sofia (Capital)
5026153033,clinic,clinic,Лазерна терапия,42.154739,24.741903,Plovdiv
5027210502,school,school,Lern,42.666275,23.295538,Sofia (Capital)
5027261200,kindergarten,kindergarten,Maxi Kids,42.665869,23.296816,Sofia (Capital)
5027261941,pharmacy,pharmacy,Аптека Триадица,42.66645,23.296915,Sofia (Capital)
5029585872,pharmacy,pharmacy,Марешки,42.618304,25.390664,Stara Zagora
5035511521,clinic,clinic,Конвекс,42.664713,23.28454,Sofia (Capital)
5037702678,kindergarten,kindergarten,Слънчо,42.66452,23.291263,Sofia (Capital)
5037768487,pharmacy,pharmacy,36.6,42.664357,23.296514,Sofia (Capital)
5039933767,pharmacy,pharmacy,SOpharmacy,42.664416,23.297991,Sofia (Capital)
5041453024,clinic,clinic,,44.02867,22.752276,Vidin
5041468222,hospital,hospital,Общинска поликлиника Шабла,43.536737,28.532498,Dobrich
5045807806,kindergarten,kindergarten,Clever Cat,42.703287,27.793231,Burgas
5045807810,kindergarten,kindergarten,Эрудит,42.702831,27.794471,Burgas
5049458657,pharmacy,pharmacy,Subra,42.659996,23.298946,Sofia (Capital)
5052121323,pharmacy,pharmacy,SOpharmacy,42.145378,24.749035,Plovdiv
5061724121,pharmacy,pharmacy,Аптека,44.028897,22.754196,Vidin
5062640460,pharmacy,pharmacy,,42.646816,26.984561,Burgas
5076276816,hospital,hospital,,42.411116,27.678266,Burgas
5081222951,pharmacy,pharmacy,Марешки,42.427597,25.644973,Stara Zagora
5081222965,pharmacy,pharmacy,Фрамар,42.428774,25.650429,Stara Zagora
5081263609,pharmacy,pharmacy,Колибри,42.652963,23.361747,Sofia (Capital)
5096950753,pharmacy,pharmacy,,42.133228,24.939453,Plovdiv
5096950754,school,school,"ОУ ""Гео Милев""",42.135796,24.939909,Plovdiv
5108696150,school,school,СУ Христо Ботев,42.288752,23.26606,Kyustendil
5108698080,kindergarten,kindergarten,Св. Ана,42.291408,23.267348,Kyustendil
5113176705,clinic,doctors,,43.540315,27.880514,Dobrich
5115594904,pharmacy,pharmacy,Фрамар 17 (Кършияка),42.158081,24.742702,Plovdiv
5115594906,pharmacy,pharmacy,SOpharmacy,42.156622,24.743642,Plovdiv
5115594907,pharmacy,pharmacy,Anteka,42.156483,24.743956,Plovdiv
5121464422,pharmacy,pharmacy,Медов,42.602532,23.484449,Sofia (Capital)
5121503725,pharmacy,pharmacy,Фарма Експерт,42.603933,23.494778,Sofia (Capital)
5128590022,pharmacy,pharmacy,,42.713071,27.760263,Burgas
5128617821,pharmacy,pharmacy,,42.713721,27.759621,Burgas
5140593022,school,school,"Училища ""Европа""",42.730656,23.298511,Sofia (Capital)
5145063321,hospital,hospital,"""Биомед - 99""",43.987313,22.876467,Vidin
5155507524,clinic,doctors,Д-р Юксел Ахмед,43.827583,27.143046,Silistra
5157775045,clinic,clinic,Медицински център,42.050978,25.58799,Haskovo
5203024559,clinic,doctors,Здравна служба,41.38059,25.255399,Kardzhali
5203024560,clinic,doctors,Доктор,41.380604,25.255079,Kardzhali
5203059021,pharmacy,pharmacy,Аптека Пулс,42.520007,27.451347,Burgas
5208108824,clinic,clinic,Първа детска консултативна клиника,42.666609,23.289938,Sofia (Capital)
5211147824,clinic,doctors,,42.703059,27.705773,Burgas
5228184727,pharmacy,pharmacy,,43.218947,27.936604,Varna
5230916645,school,school,"ВСУ ""Захари Стоянов""",42.514569,27.456197,Burgas
5237160667,pharmacy,pharmacy,Медея,42.698164,23.331464,Sofia (Capital)
5255780980,clinic,doctors,Поликлиника,42.459099,27.422324,Burgas
5256341396,hospital,hospital,"Специализирана белодробна клинка ""Цар Фердинанд""",42.985286,23.275654,Sofia Province
